종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","4460","105","2.41","201827305140"
"006840","AK홀딩스","KOSPI","기타금융","6360","40","0.63","84254487960"
"027410","BGF","KOSPI","기타금융","4105","35","0.86","392917427055"
"282330","BGF리테일","KOSPI","유통","129300","1300","1.02","2234809045800"
"138930","BNK금융지주","KOSPI","기타금융","17670","850","5.05","5483478673110"
"001460","BYC","KOSPI","섬유·의류","37050","1150","3.20","231419857500"
"001465","BYC우","KOSPI","섬유·의류","25300","400","1.61","54492405000"
"001040","CJ","KOSPI","기타금융","174500","1500","0.87","5091386151000"
"079160","CJ CGV","KOSPI","오락·문화","4505","75","1.69","745948644425"
"00104K","CJ4우(전환)","KOSPI","기타금융","163400","3400","2.13","690612060800"
"000120","CJ대한통운","KOSPI","운송·창고","82700","2900","3.63","1886580848800"
"011150","CJ씨푸드","KOSPI","음식료·담배","2110","75","3.69","75813931030"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","9610","90","0.95","1922000000"
"001045","CJ우","KOSPI","기타금융","73300","300","0.41","165674345900"
"097950","CJ제일제당","KOSPI","음식료·담배","198700","4000","2.05","2991266758200"
"097955","CJ제일제당 우","KOSPI","음식료·담배","124300","2800","2.30","164999921900"
"000480","CR홀딩스","KOSPI","비금속","4840","90","1.89","226949971600"
"000590","CS홀딩스","KOSPI","기타금융","71900","-800","-1.10","83007255800"
"012030","DB","KOSPI","IT 서비스","1969","59","3.09","396111474077"
"005830","DB손해보험","KOSPI","보험","148200","8200","5.86","9707151721800"
"016610","DB증권","KOSPI","증권","10730","380","3.67","455449753970"
"000990","DB하이텍","KOSPI","전기·전자","174300","19100","12.31","7582849688400"
"000300","DH오토넥스","KOSPI","운송장비·부품","4200","0","0.00","174035631000"
"001530","DI동일","KOSPI","유통","23250","800","3.56","481638188250"
"015590","DKME","KOSPI","기계·장비","2040","-30","-1.45","108928468320"
"000210","DL","KOSPI","화학","54000","2000","3.85","1131617736000"
"000215","DL우","KOSPI","화학","23500","700","3.07","39623702500"
"375500","DL이앤씨","KOSPI","건설","73900","3700","5.27","2859458739700"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","45250","2450","5.72","95565782750"
"37550K","DL이앤씨우","KOSPI","건설","24300","1500","6.58","51367405500"
"007340","DN오토모티브","KOSPI","전기·전자","40300","350","0.88","2357987859500"
"004840","DRB동일","KOSPI","화학","4450","130","3.01","85762019800"
"155660","DSR","KOSPI","금속","4280","120","2.88","68480000000"
"069730","DSR제강","KOSPI","금속","5290","120","2.32","76176000000"
"017860","DS단석","KOSPI","화학","14970","20","0.13","265854310830"
"092780","DYP","KOSPI","운송장비·부품","4385","60","1.39","57743697100"
"017940","E1","KOSPI","유통","87600","2700","3.18","600936000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","3635","-30","-0.82","894533515000"
"383220","F&F","KOSPI","섬유·의류","85900","2700","3.25","3290577742500"
"007700","F&F홀딩스","KOSPI","기타금융","16490","-110","-0.66","644995911830"
"114090","GKL","KOSPI","오락·문화","12070","-240","-1.95","746597936900"
"078930","GS","KOSPI","기타금융","72500","800","1.12","6734923387500"
"006360","GS건설","KOSPI","건설","28800","2600","9.92","2464746912000"
"001250","GS글로벌","KOSPI","유통","2980","145","5.11","245950616720"
"007070","GS리테일","KOSPI","유통","24550","800","3.37","2052562038250"
"078935","GS우","KOSPI","기타금융","53600","1100","2.10","95390633600"
"499790","GS피앤엘","KOSPI","기타금융","48200","-2600","-5.12","955846536200"
"012630","HDC","KOSPI","기타금융","21150","1290","6.50","1263537399150"
"039570","HDC랩스","KOSPI","건설","7920","140","1.80","205584199920"
"089470","HDC현대EP","KOSPI","화학","4060","45","1.12","129514000000"
"267270","HD건설기계","KOSPI","기계·장비","142600","-500","-0.35","6833662512200"
"009540","HD한국조선해양","KOSPI","기타금융","398000","22500","5.99","28167700168000"
"267250","HD현대","KOSPI","기타금융","244000","-1500","-0.61","19274312740000"
"443060","HD현대마린솔루션","KOSPI","일반서비스","247500","2000","0.81","11096281350000"
"071970","HD현대마린엔진","KOSPI","기계·장비","66000","3700","5.94","2238818670000"
"322000","HD현대에너지솔루션","KOSPI","전기·전자","150500","-2500","-1.63","1685600000000"
"267260","HD현대일렉트릭","KOSPI","전기·전자","1130000","97000","9.39","40733262550000"
"329180","HD현대중공업","KOSPI","운송장비·부품","650000","4000","0.62","68224796250000"
"097230","HJ중공업","KOSPI","건설","21600","800","3.85","1950379430400"
"014790","HL D&I","KOSPI","건설","2625","115","4.58","99378827625"
"003580","HLB글로벌","KOSPI","유통","1503","44","3.02","76147248015"
"204320","HL만도","KOSPI","운송장비·부품","65000","15000","30.00","3052212800000"
"060980","HL홀딩스","KOSPI","기타금융","46000","5000","12.20","417626962000"
"011200","HMM","KOSPI","운송·창고","20050","1200","6.37","18911921298500"
"035000","HS애드","KOSPI","일반서비스","7480","40","0.54","121233177120"
"002460","HS화성","KOSPI","건설","13330","1150","9.44","135299500000"
"487570","HS효성","KOSPI","기타금융","52700","2500","4.98","196356352900"
"298050","HS효성첨단소재","KOSPI","화학","197900","3500","1.80","886581709200"
"015360","INVENI","KOSPI","일반서비스","15330","460","3.09","417742500000"
"294870","IPARK현대산업개발","KOSPI","건설","19920","580","3.00","1312874013600"
"175330","JB금융지주","KOSPI","기타금융","26700","700","2.69","5026370692800"
"234080","JW생명과학","KOSPI","제약","11410","230","2.06","180672261140"
"001060","JW중외제약","KOSPI","제약","27050","550","2.08","629884406500"
"001067","JW중외제약2우B","KOSPI","제약","45500","0","0.00","9553771500"
"001065","JW중외제약우","KOSPI","제약","21150","-350","-1.63","7232263650"
"096760","JW홀딩스","KOSPI","기타금융","3850","75","1.99","284611026700"
"008970","KBI동양철관","KOSPI","금속","1421","71","5.26","147452774847"
"105560","KB금융","KOSPI","기타금융","161200","9700","6.40","57175662720800"
"415640","KB발해인프라","KOSPI","기타금융","9810","-90","-0.91","1202171825880"
"432320","KB스타리츠","KOSPI","부동산","1504","-8","-0.53","226749484640"
"002380","KCC","KOSPI","화학","504000","13500","2.75","4330819584000"
"344820","KCC글라스","KOSPI","비금속","23100","1150","5.24","368918827200"
"009070","KCTC","KOSPI","운송·창고","4445","200","4.71","133350000000"
"009440","KC그린홀딩스","KOSPI","기타금융","756","0","0.00","17568790596"
"119650","KC코트렐","KOSPI","기계·장비","918","0","0.00","100782913662"
"092220","KEC","KOSPI","전기·전자","4235","225","5.61","170046379580"
"003620","KG모빌리티","KOSPI","운송장비·부품","3185","85","2.74","644564094720"
"016380","KG스틸","KOSPI","금속","6120","300","5.15","612054449640"
"001390","KG케미칼","KOSPI","화학","4715","210","4.66","317003736450"
"001940","KISCO홀딩스","KOSPI","금속","23250","0","0.00","329600835000"
"025000","KPX케미칼","KOSPI","화학","50600","600","1.20","221562675400"
